"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Dr.+B+K+Sood-+General+Practitioner+In+Jaipur/data=!4m7!3m6!1s0x396db38fa0244ff7:0x140c7d8942a6236b!8m2!3d26.9485105!4d75.7186223!16s%2Fg%2F11pcpsfz73!19sChIJ908koI-zbTkRayOmQol9DBQ?authuser=0&hl=en&rclk=1","Dr. B K Sood- General Practitioner In Jaipur","3.7","(15)","General practitioner","·","","B K Sood Medical Centre Kalwar Road, Jhotwara, near Chandni Chowk","","Closed","· Opens 9 am","","","https://drbalkishansood.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""One of the best doctor in Jhotwara""","",""
"https://www.google.com/maps/place/Manglam+Clinic/data=!4m7!3m6!1s0x396c4dd18cf374e9:0xfebfe691b252ee8a!8m2!3d26.9611172!4d75.6962772!16s%2Fg%2F11rvh83b31!19sChIJ6XTzjNFNbDkRiu5SspHmv_4?authuser=0&hl=en&rclk=1","Manglam Clinic","5.0","(10)","Doctor","·","","Mjb Prime, Manglam circle,kalwar, road","Closed","·","","· Opens 8 am","098295 47379","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great clinic and great services""","",""
"https://www.google.com/maps/place/SkinVel+by+Dr.+Govind+Sahay+Choudhary/data=!4m7!3m6!1s0x396db3963fdbfce5:0x56dea1b32488fab3!8m2!3d26.9466437!4d75.7180779!16s%2Fg%2F11gh2vpbkx!19sChIJ5fzbP5azbTkRs_qIJLOh3lY?authuser=0&hl=en&rclk=1","SkinVel by Dr. Govind Sahay Choudhary","4.8","(171)","Skin care clinic","·","","·","66A Officers Enclave, At, Shree Ram Cir","Closed","· Opens 10 am","·","082904 04645","https://skinvelclinic.com/","","Website","","Directions","","On-site services","",""
"https://www.google.com/maps/place/DR+AAKASH+SONI+%28PUSHPADEEP+CHILDCARE%29+-Child+Doctor+Jhotwara/data=!4m7!3m6!1s0x396db30046436b95:0x5017079751770b6f!8m2!3d26.940811!4d75.7471597!16s%2Fg%2F11mt83kn_d!19sChIJlWtDRgCzbTkRbwt3UZcHF1A?authuser=0&hl=en&rclk=1","DR AAKASH SONI (PUSHPADEEP CHILDCARE) -Child Doctor Jhotwara","5.0","(30)","Pediatrician","·","","WPRW+8VF, Maharana Pratap Marg","·","Closed","· Opens 5 pm","","083024 53372","https://pushpadeepchildcare.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Proper guidance, minimal waiting time, and very polite staff.""","",""
"https://www.google.com/maps/place/Medical+D%2FC+Center/data=!4m7!3m6!1s0x396db3a14c09d849:0x8a09458ab21935a0!8m2!3d26.9427895!4d75.7550741!16s%2Fg%2F1th26t28!19sChIJSdgJTKGzbTkRoDUZsopFCYo?authuser=0&hl=en&rclk=1","Medical D/C Center","4.1","(58)","Specialized clinic","·","","·","Kalwar Rd","Closed","· Opens 9 am","·","078911 33200","http://www.medicaldccenter.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very experience Dr.and good diagonosis""","",""
"https://www.google.com/maps/place/DR.+D.S.+CHOUDHARY.+%28MBBS%29+MD+PHYSICIAN/data=!4m7!3m6!1s0x396db3d41e38571d:0x2f75ab3893c93a3a!8m2!3d26.9574684!4d75.717653!16s%2Fg%2F11lf3lrzkc!19sChIJHVc4HtSzbTkROjrJkzirdS8?authuser=0&hl=en&rclk=1","DR. D.S. CHOUDHARY. (MBBS) MD PHYSICIAN","5.0","(5)","Medical clinic","","","·","Closed","","","· Opens 6:15 am","095873 15591","","","Directions","","","","On-site services","",""
"https://www.google.com/maps/place/Kansal+Skin+%26+Child+Care+Center/data=!4m7!3m6!1s0x396db311e5816719:0xc04abf7f4b1c983e!8m2!3d26.9447428!4d75.7479734!16s%2Fg%2F1ygbb8h_8!19sChIJGWeB5RGzbTkRPpgcS3-_SsA?authuser=0&hl=en&rclk=1","Kansal Skin & Child Care Center","4.1","(371)","Skin care clinic","·","","·","143, Jhotwara Road, Kalwar Rd","Closed","· Opens 9:30 am","·","094142 39366","https://www.practo.com/jaipur/doctor/dr-l-m-kansal-dermatologist-cosmetologist","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They are knowledgeable and listened to my concerns.""","",""
"https://www.google.com/maps/place/Dr+Mohd+Khalid/data=!4m7!3m6!1s0x396db57ac1e573b5:0x3d0ab9885ed83554!8m2!3d26.952933!4d75.7396715!16s%2Fg%2F11rspf51hp!19sChIJtXPlwXq1bTkRVDXYXoi5Cj0?authuser=0&hl=en&rclk=1","Dr Mohd Khalid","5.0","(142)","Medical clinic","·","","FirstMed Clinic Plot no 33, NARAYANPURI-B, 302012, behind Darbar school","Closed","·","","· Opens 9 am","078775 39937","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""His treatment expense are nominal and very effective.""","",""
"https://www.google.com/maps/place/SRS+Medical+Clinic/data=!4m7!3m6!1s0x396db32f41b5e919:0x9538b7a3f226a03f!8m2!3d26.934981!4d75.7479879!16s%2Fg%2F11l5tkrnp8!19sChIJGem1QS-zbTkRP6Am8qO3OJU?authuser=0&hl=en&rclk=1","SRS Medical Clinic","5.0","(24)","Medical clinic","·","","WPMX+X5X, तारा नगर मार्ग","Closed","","","· Opens 9 am","","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Caring n supportive with proper medicines""","",""
"https://www.google.com/maps/place/Shri+Ambe+Hospital+And+Research+Institute/data=!4m7!3m6!1s0x396db2cd80532bb3:0xe1991c8be77bd447!8m2!3d26.9685049!4d75.7169446!16s%2Fg%2F11bbrjq_cv!19sChIJsytTgM2ybTkRR9R754scmeE?authuser=0&hl=en&rclk=1","Shri Ambe Hospital And Research Institute","4.4","(1,482)","Hospital","·","","·","8,9, Niwaru Rd","Open 24 hours","","·","099831 49001","https://shriambehospital.in/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","doctors","and nursing staff were extremely caring, supportive, and polite."""
