"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Dr.+Vipul+Agarwal/data=!4m7!3m6!1s0x396db3b4cd9ca6bd:0x8ac9d44fca88e3ec!8m2!3d26.9109315!4d75.741057!16s%2Fg%2F11jzrzdw5g!19sChIJvaaczbSzbTkR7OOIyk_UyYo?authuser=0&hl=en&rclk=1","Dr. Vipul Agarwal","4.9","(958)","Medical clinic","·","","·","infront of brahmakumaris, F- 154, next to JDA community hall, near D A V Centenary Public School","Closed","· Opens 8:30 am","·","094296 90970","https://www.drvipulagarwal.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He takes his time to properly diagnose the root cause of the issue.""","",""
"https://www.google.com/maps/place/Dr.+Govind+Saini/data=!4m7!3m6!1s0x396db531f238ef6b:0x4020f820a19cadd9!8m2!3d26.9116001!4d75.7302486!16s%2Fg%2F11ssd7g428!19sChIJa-848jG1bTkR2a2coSD4IEA?authuser=0&hl=en&rclk=1","Dr. Govind Saini","4.7","(96)","Doctor","·","","·","Vaishali Hospital 69, 69, Amrapali Marg","Open 24 hours","","·","094142 02598","https://www.drgovindsaini.com/","","Website","","Directions","","On-site services","",""
"https://www.google.com/maps/place/Dr.+Saini%27s+Multispecialty+Clinic/data=!4m7!3m6!1s0x396db5a533e2af35:0x5410aa9a255fa70d!8m2!3d26.9017967!4d75.7423018!16s%2Fg%2F11vy9k46yd!19sChIJNa_iM6W1bTkRDadfJZqqEFQ?authuser=0&hl=en&rclk=1","Dr. Saini's Multispecialty Clinic","5.0","(21)","Medical clinic","·","","Ground Floor - 148, S & S tower, near Akshardham Temple","Closed","· Opens 9 am","·","","094629 74346","","","Directions","","","","On-site services","",""
"https://www.google.com/maps/place/Clinic/data=!4m7!3m6!1s0x396db549ececf37b:0xf2f7880a6633e6c1!8m2!3d26.9053666!4d75.7357298!16s%2Fg%2F11z73z9j3s!19sChIJe_Ps7Em1bTkRweYzZgqI9_I?authuser=0&hl=en&rclk=1","Clinic","5.0","(1)","Doctor","·","","Nb 34, Shop","","","","","086960 99686","","","Directions","","","","","",""
"https://www.google.com/maps/place/DR.+NARANG+HOSPITAL/data=!4m7!3m6!1s0x396db4a07e325381:0x9ae57a241bec2863!8m2!3d26.9133521!4d75.7376439!16s%2Fg%2F11b75s7xg8!19sChIJgVMyfqC0bTkRYyjsGyR65Zo?authuser=0&hl=en&rclk=1","DR. NARANG HOSPITAL","4.4","(221)","Hospital","·","","·","A-288","Open","· Closes 8 am · Reopens 10 am","·","0141 410 9270","https://drnarangshospital.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great care delivered, extremely nice staff and expert doctors""","",""
"https://www.google.com/maps/place/Clinic+on+wheels/data=!4m7!3m6!1s0x396db5ab8db77e97:0x9dc897c905e8e611!8m2!3d26.8976868!4d75.7375402!16s%2Fg%2F11fqcvf7mr!19sChIJl363jau1bTkREeboBcmXyJ0?authuser=0&hl=en&rclk=1","Clinic on wheels","5.0","(106)","Doctor","·","","·","Closed","· Opens 9 am","D-6/305","·","070233 34333","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr. Vivek Jain arrived on time and conducted a very detailed check-up.""","",""
"https://www.google.com/maps/place/Lifecare+Clinic+-+Gynecology+%26+Child+Care+Clinic/data=!4m7!3m6!1s0x396db499daffffff:0xd9d2508d49be8ca6!8m2!3d26.9029866!4d75.732265!16s%2Fg%2F11rgtpdhxc!19sChIJ____2pm0bTkRpoy-SY1Q0tk?authuser=0&hl=en&rclk=1","Lifecare Clinic - Gynecology & Child Care Clinic","5.0","(110)","Medical clinic","·","","·","257, Saraswati Marg, near Chitrakoot Stadium","Closed","· Opens 9 am","·","081975 61760","https://dragnilifecare.in/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr. Vaibhav Agnihotri  listened us carfully and respond very politely .""","",""
"https://www.google.com/maps/place/Dr+Umesh+Gupta/data=!4m7!3m6!1s0x396db543628d42b5:0x89d267ff1d3a8b1d!8m2!3d26.9055242!4d75.7374441!16s%2Fg%2F11nx172bv1!19sChIJtUKNYkO1bTkRHYs6Hf9n0ok?authuser=0&hl=en&rclk=1","Dr Umesh Gupta","5.0","(312)","Doctor","·","","C-1/39, CHITRAKOOT, near Global Heart And General Hospital","Closed","· Opens 5 pm","·","","081144 64921","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Accurate diagnosis and effective treatment plan""","",""
