"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W4Efsd 6","e4rVHe"
"https://www.google.com/maps/place/Best+Anchor+Delhi+%7C+Best+Modeling+Agency/data=!4m7!3m6!1s0x390ce3a65d8ad551:0xca687aa7610a32e5!8m2!3d23.1066128!4d77.0595484!16s%2Fg%2F11fm_32lrb!19sChIJUdWKXabjDDkR5TIKYad6aMo?authuser=0&hl=en&rclk=1","Best Anchor Delhi | Best Modeling Agency","5.0","(3)","Artist","Open 24 hours","","","","","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Really a Perfect anchor.""","",""
"https://www.google.com/maps/place/Anchor+on+call/data=!4m7!3m6!1s0x390d03425d68ca93:0x80f16c40131fc725!8m2!3d28.6352454!4d77.1174826!16s%2Fg%2F11fn7h_9jn!19sChIJk8poXUIDDTkRJccfE0Bs8YA?authuser=0&hl=en&rclk=1","Anchor on call","","","Corporate office","·","BA- 93","","","096679 54999","http://anchoroncall.com/","","Website","","Directions","","","","No reviews"
"https://www.google.com/maps/place/Anchor+dc+khanagwal/data=!4m7!3m6!1s0x390cfd00041d9c4d:0x2732b8169e43c623!8m2!3d28.681546!4d77.2837071!16s%2Fg%2F11nb_xd3dx!19sChIJTZwdBAD9DDkRI8ZDnha4Mic?authuser=0&hl=en&rclk=1","Anchor dc khanagwal","5.0","(8)","Apartment building","","1/9768, gali-1d","","·","095608 34803","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best anchor ❤️❤️""","",""
"https://www.google.com/maps/place/Anchor+Shubhamastu/data=!4m7!3m6!1s0x390d0fb592af4e09:0xe7e6db452c511d11!8m2!3d28.6053398!4d77.0032658!16s%2Fg%2F11ynl3046r!19sChIJCU6vkrUPDTkRER1RLEXb5uc?authuser=0&hl=en&rclk=1","Anchor Shubhamastu","5.0","(2)","Entertainer","","Number -12, Phase, 1, Deenpura Extension, Road","","·","","","","Directions","","","","","",""
"https://www.google.com/maps/place/The+Dashing+Anchor/data=!4m7!3m6!1s0x390d050071cc9657:0xa7a52c09202c24aa!8m2!3d28.6444309!4d77.0791332!16s%2Fg%2F11y6cptchx!19sChIJV5bMcQAFDTkRqiQsIAkspac?authuser=0&hl=en&rclk=1","The Dashing Anchor","5.0","(2)","Artist","","Block a, 124, Vikaspuri Rd","","·","","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Superb anchor""","",""
"https://www.google.com/maps/place/Anchor+IT+Solutions/data=!4m7!3m6!1s0x4ebf586dbe4d7c09:0x968455c83bf5226c!8m2!3d28.5663714!4d77.2486924!16s%2Fg%2F11t3sn2s5m!19sChIJCXxNvm1Yv04RbCL1O8hVhJY?authuser=0&hl=en&rclk=1","Anchor IT Solutions","4.8","(36)","Software company","Closed","·","· Opens 9 am","·","076786 58584","","","Directions","","","","On-site services","4",""
"https://www.google.com/maps/place/ANCHOR+KUHU/data=!4m7!3m6!1s0x2718d2791f218487:0x51ff56734b6ab6e1!8m2!3d21.0680074!4d82.7525294!16s%2Fg%2F11lz39wk89!19sChIJh4QhH3nSGCcR4bZqS3NW_1E?authuser=0&hl=en&rclk=1","ANCHOR KUHU","5.0","(1)","Event planner","","","","","","https://gamma.app/docs/EMCEE-KUHU-The-Voice-Of-Choice--ddqot3rjfqlepvt?mode=doc","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great artist and also great anchor""","",""
"https://www.google.com/maps/place/Anchor+Trading+Psychology/data=!4m7!3m6!1s0x390d033f1b1e04e3:0x73adf79bc6535a92!8m2!3d28.6519442!4d77.1621232!16s%2Fg%2F11yv8hfbg1!19sChIJ4wQeGz8DDTkRklpTxpv3rXM?authuser=0&hl=en&rclk=1","Anchor Trading Psychology","","","Education center","","28/113-114","","·","","","","Directions","","","","","","No reviews"
"https://www.google.com/maps/place/Anchor+Infra+Solutions/data=!4m7!3m6!1s0x390d034d95555555:0x1427010984596c64!8m2!3d28.6372149!4d77.0668125!16s%2Fg%2F11pd0kgj1c!19sChIJVVVVlU0DDTkRZGxZhAkBJxQ?authuser=0&hl=en&rclk=1","Anchor Infra Solutions","5.0","(2)","Construction equipment supplier","·","J3P8+VPM, DG-II Rd","Closed","·","096504 98999","https://anchorinfrasolutions.com/","","Website","","Directions","","","· Opens 9:30 am",""
"https://www.google.com/maps/place/TALENT+ANCHOR+CONSULTANTS/data=!4m7!3m6!1s0x390d034413abafd7:0xb3748688626e5454!8m2!3d28.6998832!4d77.1252831!16s%2Fg%2F11xv53v7d7!19sChIJ16-rE0QDDTkRVFRuYoiGdLM?authuser=0&hl=en&rclk=1","TALENT ANCHOR CONSULTANTS","5.0","(8)","Recruiter","·","C-574","Closed","·","091050 75195","https://www.talentanchor.in/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent services.""","· Opens 9 am",""
"https://www.google.com/maps/place/Renu+Bhatt+Anchor+Emcee+Radio+Jockey/data=!4m7!3m6!1s0x390d073334cf5199:0x4a8e56b6b0efe190!8m2!3d28.7333539!4d77.0528632!16s%2Fg%2F11n4g1kddf!19sChIJmVHPNDMHDTkRkOHvsLZWjko?authuser=0&hl=en&rclk=1","Renu Bhatt Anchor Emcee Radio Jockey","5.0","(8)","Radio broadcaster","Closed","2775B","· Opens 7 am","·","078382 21684","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Renu Bhatt you are an amazing anchor and extremely talented.""","·",""
"https://www.google.com/maps/place/Anchor+Security+Services/data=!4m7!3m6!1s0x390cfd627a470c47:0xb545349d94c96fdb!8m2!3d28.6521667!4d77.1949806!16s%2Fg%2F11yh2m9jh_!19sChIJRwxHemL9DDkR22_JlJ00RbU?authuser=0&hl=en&rclk=1","Anchor Security Services","5.0","(1)","Security service","","11661/1, near Tank Road","","·","","","","Directions","","","","","",""
"https://www.google.com/maps/place/Best+female+anchor+in+delhi/data=!4m7!3m6!1s0x2e2382be3d2e272f:0x7790b2f72ccc2c72!8m2!3d28.6440837!4d77.0932314!16s%2Fg%2F11z0wfc5z_!19sChIJLycuPb6CIy4RcizMLPeykHc?authuser=0&hl=en&rclk=1","Best female anchor in delhi","","","Event planner","","","","","","https://www.instagram.com/anchor_raida?igsh=MXYzamtoajNwcXNlNw==&utm_source=qr","","Website","","Directions","","","","No reviews"
"https://www.google.com/maps/place/Emcee+Tanishka+Chhabra/data=!4m7!3m6!1s0x390ce3a6251f88c9:0xf52caf9ba02cfaa6!8m2!3d21.0680074!4d82.7525294!16s%2Fg%2F11nx1qljl_!19sChIJyYgfJabjDDkRpvosoJuvLPU?authuser=0&hl=en&rclk=1","Emcee Tanishka Chhabra","5.0","(6)","Artist","","","Open 24 hours","","","https://youtube.com/@Tanishkajain1008?si=B-qbnbwbOFJeBjSs","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best","",""
"https://www.google.com/maps/place/Anchor+Neha+Sharma/data=!4m7!3m6!1s0x6b6515f74ef50d5f:0x5e71cd0f291b3a0c!8m2!3d21.0680074!4d82.7525294!16s%2Fg%2F11nhzttp1v!19sChIJXw31TvcVZWsRDDobKQ_NcV4?authuser=0&hl=en&rclk=1","Anchor Neha Sharma","","","Event management company","","","","","093113 05523","https://www.instagram.com/anchornehaa?igsh=MWxkems1dzdzdDRsZw==","","Website","","Directions","","","","No reviews"
"https://www.google.com/maps/place/EMCEE%2FANCHOR+%26+DJ+IN+INDIA/data=!4m7!3m6!1s0x390d0210bfea5791:0x5af67cf937efb450!8m2!3d28.6940587!4d77.1772737!16s%2Fg%2F1vh_6s1w!19sChIJkVfqvxACDTkRULTvN_l89lo?authuser=0&hl=en&rclk=1","EMCEE/ANCHOR & DJ IN INDIA","","","DJ service","Closed","M5VG+JWC","· Opens 9 am","·","","","","Directions","","","","","","No reviews"
"https://www.google.com/maps/place/Anchor+kuhu/data=!4m7!3m6!1s0x390d059c96aab84b:0xe24c0081b277e6aa!8m2!3d28.6161054!4d77.0687831!16s%2Fg%2F11wxfrshwn!19sChIJS7iqlpwFDTkRquZ3soEATOI?authuser=0&hl=en&rclk=1","Anchor kuhu","5.0","(1)","Artist","·","Bindapur Rd","","·","095990 64980","https://gamma.app/docs/EMCEE-KUHU-The-Voice-Of-Choice--ddqot3rjfqlepvt","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very good anchor, best wishes for a bright future.""","",""
"https://www.google.com/maps/place/Anchor+Megh+Gautam/data=!4m7!3m6!1s0x390cfdd7e22d88cf:0xd81bafc833f5a843!8m2!3d28.695904!4d77.260422!16s%2Fg%2F11yv49ykh_!19sChIJz4gt4tf9DDkRQ6j1M8ivG9g?authuser=0&hl=en&rclk=1","Anchor Megh Gautam","","","Artist","·","D block, Gamri Rd","","","","https://www.encorendecor.com/","","Website","","Directions","","","","No reviews"
"https://www.google.com/maps/place/Anchor+Krishna+Varma/data=!4m7!3m6!1s0x4568d1f69f478e9b:0x30be63d17bee7ec3!8m2!3d21.0680074!4d82.7525294!16s%2Fg%2F11nr5mwfl1!19sChIJm45Hn_bRaEURw37ue9FjvjA?authuser=0&hl=en&rclk=1","Anchor Krishna Varma","","","Artist","","","Open 24 hours","","","https://www.youtube.com/emceekrishnavarma","","Website","","Directions","","","","No reviews"
"https://www.google.com/maps/place/Anchor+House/data=!4m7!3m6!1s0x390d0442cfd05759:0xfcb0090d38735340!8m2!3d28.6678211!4d77.0773459!16s%2Fg%2F11x6r5536f!19sChIJWVfQz0IEDTkRQFNzOA0JsPw?authuser=0&hl=en&rclk=1","Anchor House","","","Nihal Vihar, Nangloi","","","","Delhi, 110041","","","","Directions","","","","","","No reviews"
"https://www.google.com/maps/place/THE+ANCHOR+DENTAL+CLINIC/data=!4m7!3m6!1s0x390d057953632a29:0xde1bffd199cfc783!8m2!3d28.6264669!4d77.01815!16s%2Fg%2F11t5ztnr08!19sChIJKSpjU3kFDTkRg8fPmdH_G94?authuser=0&hl=en&rclk=1","THE ANCHOR DENTAL CLINIC","5.0","(41)","Dentist","Closed","8C NANGLI DAIRY, Street No. 15","· Opens 9 am","·","","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Highly recommended""","",""
"https://www.google.com/maps/place/News+Anchor+Saumya/data=!4m7!3m6!1s0x390d0372cf6c57b1:0x158f794efa7c8c83!8m2!3d28.6281912!4d77.1493764!16s%2Fg%2F11nk00ky6r!19sChIJsVdsz3IDDTkRg4x8-k55jxU?authuser=0&hl=en&rclk=1","News Anchor Saumya","","","Youth organization","","","","","","https://anchorsaumya.blogspot.com/?m=1","","Website","","Directions","","","","No reviews"
"https://www.google.com/maps/place/Anchor+Priya+Rajput/data=!4m7!3m6!1s0x390d05b4bc9e6787:0x3189c8473f4f04ac!8m2!3d28.6190347!4d77.0640016!16s%2Fg%2F11zh0dy01t!19sChIJh2eevLQFDTkRrARPP0fIiTE?authuser=0&hl=en&rclk=1","Anchor Priya Rajput","","","Media house","","","","","","","","Directions","","","","","","No reviews"
"https://www.google.com/maps/place/SHOWMAQERS/data=!4m7!3m6!1s0x390d1f3d0d8876b3:0x9d822e77df5842c7!8m2!3d28.4898057!4d77.1902254!16s%2Fg%2F11fk3d4zrz!19sChIJs3aIDT0fDTkRx0JY33cugp0?authuser=0&hl=en&rclk=1","SHOWMAQERS","4.9","(86)","Wedding planner","·","H.N160","Open 24 hours","·","098117 88643","http://www.showmaqers.com/","","Website","","Directions","","On-site services","",""
"https://www.google.com/maps/place/Sajan+Baliyan/data=!4m7!3m6!1s0x390d034e75cd8b69:0x6c36913bd1e32752!8m2!3d28.6554045!4d77.1645437!16s%2Fg%2F11yh75q25s!19sChIJaYvNdU4DDTkRUifj0TuRNmw?authuser=0&hl=en&rclk=1","Sajan Baliyan","5.0","(9)","Event planner","Open","","· Closes 6:30 am · Reopens 10 am","","","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Grateful work""","",""
"https://www.google.com/maps/place/Anchor+Taniya+Bamotra/data=!4m7!3m6!1s0x83817327bc93a6c9:0xb7c21993a7d3d963!8m2!3d21.0680074!4d82.7525294!16s%2Fg%2F11ltdswvbr!19sChIJyaaTvCdzgYMRY9nTp5MZwrc?authuser=0&hl=en&rclk=1","Anchor Taniya Bamotra","","","Event management company","","","","","","https://www.instagram.com/taniya_bamotra?igsh=MXMwb3B5Nm4waWJ1bQ==","","Website","","Directions","","","","No reviews"
"https://www.google.com/maps/place/Anchor+Taniya+Bamotra/data=!4m7!3m6!1s0x93f47a761425a41:0xf3a69bd6bda11ec2!8m2!3d21.5160178!4d74.9100413!16s%2Fg%2F11why86lx0!19sChIJQVpCYadHPwkRwh6hvdabpvM?authuser=0&hl=en&rclk=1","Anchor Taniya Bamotra","","","Event management company","","","","","","https://www.instagram.com/taniya_bamotra?igsh=ODNrenV4OHoxMmd6","","Website","","Directions","","","","No reviews"
"https://www.google.com/maps/place/Anchor+Raunak/data=!4m7!3m6!1s0x390cfe07b5379ef9:0x58c6d6978060974d!8m2!3d28.716701!4d77.2044803!16s%2Fg%2F11xp79r_mq!19sChIJ-Z43tQf-DDkRTZdggJfWxlg?authuser=0&hl=en&rclk=1","Anchor Raunak","5.0","(1)","Event planner","","Pradhan Market","","·","","","","Directions","","","","","",""
"https://www.google.com/maps/place/Anchor+Mannan+Thakrral/data=!4m7!3m6!1s0x2abb40641d94a7d7:0xa3c08f4d656f13e9!8m2!3d37.4624831!4d146.3815574!16s%2Fg%2F11wvz6qk31!19sChIJ16eUHWRAuyoR6RNvZU2PwKM?authuser=0&hl=en&rclk=1","Anchor Mannan Thakrral","","","Entertainer","","·","Closed","","089309 15151","https://mannanthakral.com/","","Website","","Directions","","","· Opens 10 am Tue","No reviews"
"https://www.google.com/maps/place/Anchor+Komal+Gahlyan/data=!4m7!3m6!1s0x85e52679f9ac86eb:0x25275033279b24f4!8m2!3d21.0680074!4d82.7525294!16s%2Fg%2F11lf8fwtnq!19sChIJ64as-Xkm5YUR9CSbJzNQJyU?authuser=0&hl=en&rclk=1","Anchor Komal Gahlyan","","","Entertainer","","·","Closed","","083838 82670","https://www.instagram.com/anchorkomalgahylan?igsh=MXhyNHl4eGVleWJ2aw==&utm_source=qr","","Website","","Directions","","Online appointments","· Opens 9 am","No reviews"
"https://www.google.com/maps/place/Anchor+Laser-Best+Laser+cutting+and+Bending/data=!4m7!3m6!1s0x390da938d80e546d:0xfe11b854b8b76756!8m2!3d28.7975302!4d77.0779405!16s%2Fg%2F11n_v21_52!19sChIJbVQO2DipDTkRVme3uFS4Ef4?authuser=0&hl=en&rclk=1","Anchor Laser-Best Laser cutting and Bending","5.0","(3)","Laser Cutting Service Provider","","C2","","·","098717 17585","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Brilliant staff and very accurate work doing""","·",""
"https://www.google.com/maps/place/R.S+Enterprise+%E2%80%93+Joy+%26+Anchor+Soaps+%26+Toothpaste+Distributor/data=!4m7!3m6!1s0x390d054722baee33:0xc24f44af84e9a1a4!8m2!3d28.6382953!4d77.0398693!16s%2Fg%2F11yf298ks2!19sChIJM-66IkcFDTkRpKHphK9ET8I?authuser=0&hl=en&rclk=1","R.S Enterprise – Joy & Anchor Soaps & Toothpaste Distributor","4.0","(1)","Health and beauty shop","Closed","Gali No 2","· Opens 10 am","·","076786 71997","","","Directions","","","","","·",""
"https://www.google.com/maps/place/Anchor+VJ+Kapil+Raj/data=!4m7!3m6!1s0x390cfd6d92ba3f5b:0x9c333b2300ae98b4!8m2!3d28.6327426!4d77.2195969!16s%2Fg%2F11xskcl4bw!19sChIJWz-6km39DDkRtJiuACM7M5w?authuser=0&hl=en&rclk=1","Anchor VJ Kapil Raj","","","Artist","","·","","","078950 55135","","","Directions","","","","","","No reviews"
"https://www.google.com/maps/place/APS+MANGLAM+PRIVATE+LIMITED/data=!4m7!3m6!1s0x390d03e4b7bfffff:0xf643e5808d472d0c!8m2!3d28.6981563!4d77.1146277!16s%2Fg%2F11krkh926m!19sChIJ__-_t-QDDTkRDC1HjYDlQ_Y?authuser=0&hl=en&rclk=1","APS MANGLAM PRIVATE LIMITED","3.8","(1,342)","Oil & natural gas company","","·","","·","096438 17154","","","Directions","","","","On-site services","308, 3rd Floor",""
"https://www.google.com/maps/place/Anchor+Sagar+Kapoor/data=!4m7!3m6!1s0x2ac4bc8499f6c52b:0x866f46464209a812!8m2!3d25.7024839!4d78.705118!16s%2Fg%2F11kh_jlb9t!19sChIJK8X2mYS8xCoREqgJQkZGb4Y?authuser=0&hl=en&rclk=1","Anchor Sagar Kapoor","","","Artist","","","","","","","","Directions","","","","","","No reviews"
"https://www.google.com/maps/place/ANCHOR/data=!4m7!3m6!1s0x390d011bc7206b9f:0xd4af3bd9e5d89b47!8m2!3d28.7210643!4d77.1154368!16s%2Fg%2F11y81clfk1!19sChIJn2sgxxsBDTkRR5vY5dk7r9Q?authuser=0&hl=en&rclk=1","ANCHOR","","","Event planner","","504,505, CROWN HIGHTS","","·","","","","Directions","","","","","","No reviews"
"","","","","","","","","","","","","","","","","","",""
